City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kalmunai,LK,79.57,overcast clouds,7.42,81.82,VS Villa
4,Bima,ID,88.56,clear sky,-8.47,118.72,Lambitu Hotel
5,Kudahuvadhoo,MV,82.17,scattered clouds,2.67,72.89,Kudahuvadhoo Retreat
6,Hilo,US,86.0,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
8,Kapaa,US,84.99,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
11,Kattivakkam,IN,80.6,mist,13.22,80.32,St. Joseph Thirumana mandapam
15,Diamantino,BR,76.64,light rain,-14.41,-56.45,Hotel Delta
33,Atuona,PF,78.62,broken clouds,-9.8,-139.03,Villa Enata
34,Marsh Harbour,BS,80.44,moderate rain,26.54,-77.06,Abaco Beach Resort
37,Pyu,MM,75.72,overcast clouds,18.48,96.43,Phyu Post Office
39,Hithadhoo,MV,83.21,broken clouds,-0.6,73.08,Scoop Guest House
42,Cobija,BO,82.85,overcast clouds,-11.03,-68.77,Hotel Obelisco
43,Caraballeda,VE,80.6,broken clouds,10.61,-66.85,Hotel 15 Letras
46,Tautira,PF,86.0,shower rain,-17.73,-149.15,Pension Oaoa
53,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
57,Hambantota,LK,77.0,few clouds,6.12,81.12,Bungalow 63
58,Villamontes,BO,86.31,heavy intensity rain,-21.25,-63.5,Hotel Raldes
59,Kundiawa,PG,80.22,light rain,-6.02,144.97,Kundiawa Hotel
64,Bandarbeyla,SO,75.0,scattered clouds,9.49,50.81,REER XOOSHLE GROUP
70,Marawi,PH,81.0,light rain,8.0,124.29,Derogongan Residence
74,Banjar,ID,84.2,broken clouds,-8.19,114.97,The Hamsa Resort
78,Papara,BR,81.0,broken clouds,-3.98,-38.73,Bela vista Maranguape
93,Samarai,PG,81.75,light rain,-10.62,150.67,Nuli Sapi
99,Alyangula,AU,87.8,clear sky,-13.85,136.42,Groote Eylandt Lodge
103,Ratnagiri,IN,76.06,clear sky,16.98,73.3,Hotel Landmark
106,Sabang,ID,76.82,moderate rain,5.89,95.32,Hotel Citra
107,Alugan,PH,78.17,heavy intensity rain,12.22,125.48,BEMBEM RAIN FEED RESORT
108,Butaritari,KI,81.01,broken clouds,3.07,172.79,Isles Sunset Lodge
123,Lazaro Cardenas,MX,81.59,clear sky,17.96,-102.2,Collection O Hotel Quinta Antigua
126,Victoria,HK,75.0,overcast clouds,22.29,114.16,Mini Hotel Central
128,Lorengau,PG,86.18,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
129,Tevaitoa,PF,79.95,light rain,-16.78,-151.5,Hôtel Raiatea Lodge
134,Dogondoutchi,NE,83.25,broken clouds,13.64,4.03,Hôtel Alheri Maison Alheri
136,Todos Santos,MX,79.0,clear sky,23.45,-110.22,Hotel California Todos Santos
140,Road Town,VG,82.99,overcast clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
141,Makakilo City,US,86.0,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
