City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kalmunai,LK,7.42,81.82,79.57,75,100,0.34,overcast clouds
1,Kalemie,CD,-5.95,29.19,72.28,67,100,6.35,overcast clouds
2,Nikolskoye,RU,59.7,30.79,39.2,86,75,2.24,light intensity shower rain
3,Faya,SA,18.39,42.45,59.0,22,0,2.28,clear sky
4,Bima,ID,-8.47,118.72,88.56,61,10,2.82,clear sky
5,Kudahuvadhoo,MV,2.67,72.89,82.17,79,47,10.98,scattered clouds
6,Hilo,US,19.73,-155.09,86.0,62,75,14.99,broken clouds
7,Fonte Boa,BR,-2.5,-66.27,75.31,92,62,1.92,broken clouds
8,Kapaa,US,22.08,-159.32,84.99,74,40,17.22,scattered clouds
9,Busselton,AU,-33.65,115.33,69.01,53,29,5.01,scattered clouds
10,Pevek,RU,69.7,170.31,28.35,90,0,15.12,clear sky
11,Kattivakkam,IN,13.22,80.32,80.6,94,75,5.3,mist
12,Albany,US,42.6,-73.97,46.99,67,43,5.01,scattered clouds
13,Rikitea,PF,-23.12,-134.97,74.89,80,100,20.85,overcast clouds
14,Barrow,US,71.29,-156.79,32.0,98,90,12.75,overcast clouds
15,Diamantino,BR,-14.41,-56.45,76.64,76,100,5.21,light rain
16,Bondo,CD,3.81,23.69,68.88,98,100,2.15,moderate rain
17,Bilibino,RU,68.05,166.44,21.74,88,6,1.52,clear sky
18,Vaini,TO,-21.2,-175.2,73.4,94,90,11.41,light intensity drizzle
19,Henties Bay,NA,-22.12,14.28,57.99,90,0,5.19,clear sky
20,Khatanga,RU,71.97,102.5,6.55,95,100,14.2,light snow
21,Corinth,GR,37.94,22.96,63.0,77,0,7.18,clear sky
22,Hedaru,TZ,-4.5,37.9,67.78,89,49,1.79,scattered clouds
23,New Norfolk,AU,-42.78,147.06,55.99,47,79,1.01,broken clouds
24,Butler,US,39.45,-84.57,46.99,75,75,8.05,broken clouds
25,Sambava,MG,-14.27,50.17,71.51,82,82,9.55,light rain
26,Ostrovnoy,RU,68.05,39.51,31.59,97,100,12.26,overcast clouds
27,Jamestown,US,42.1,-79.24,42.01,70,90,6.04,overcast clouds
28,Punta Arenas,CL,-53.15,-70.92,42.8,93,100,14.99,light rain
29,Mataura,NZ,-46.19,168.86,69.67,54,100,10.13,overcast clouds
30,Port Alfred,ZA,-33.59,26.89,65.66,90,1,7.0,clear sky
31,Jilove,CZ,50.76,14.1,46.99,95,0,4.18,clear sky
32,Palmer,US,42.16,-72.33,52.0,75,14,1.99,few clouds
33,Atuona,PF,-9.8,-139.03,78.62,75,55,19.84,broken clouds
34,Marsh Harbour,BS,26.54,-77.06,80.44,78,92,11.79,moderate rain
35,Tuatapere,NZ,-46.13,167.68,69.69,53,100,12.41,overcast clouds
36,Suratgarh,IN,29.32,73.9,70.84,22,0,7.96,clear sky
37,Pyu,MM,18.48,96.43,75.72,92,99,0.43,overcast clouds
38,Cape Town,ZA,-33.93,18.42,62.01,77,75,8.05,broken clouds
