City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Severo-Kurilsk,RU,2020-10-23 17:59:50,50.68,156.12,45.32,82,100,24.0
1,Port Alfred,ZA,2020-10-23 17:59:52,-33.59,26.89,73.08,77,71,3.74
2,Ushuaia,AR,2020-10-23 17:59:52,-54.8,-68.3,48.2,57,40,4.7
3,Rikitea,PF,2020-10-23 17:59:52,-23.12,-134.97,73.9,78,41,4.9
4,North Bend,US,2020-10-23 17:59:52,43.41,-124.22,54.0,87,1,8.05
5,Hithadhoo,MV,2020-10-23 17:59:53,-0.6,73.08,82.72,77,6,11.99
6,High Level,CA,2020-10-23 17:59:53,58.52,-117.14,19.4,85,75,5.82
7,Torbay,CA,2020-10-23 17:59:53,47.67,-52.73,46.0,64,75,9.17
8,Vaini,TO,2020-10-23 17:59:53,-21.2,-175.2,71.6,88,20,6.93
9,Bubaque,GW,2020-10-23 17:59:54,11.28,-15.83,85.46,71,20,10.38
10,Bredasdorp,ZA,2020-10-23 17:59:54,-34.53,20.04,68.0,82,30,6.93
11,Arraial Do Cabo,BR,2020-10-23 17:59:54,-22.97,-42.03,78.8,61,0,17.22
12,Daru,PG,2020-10-23 17:59:55,-9.08,143.21,78.62,83,44,9.37
13,Karlskrona,SE,2020-10-23 17:59:56,56.16,15.59,51.8,87,75,4.7
14,Faanui,PF,2020-10-23 17:59:56,-16.48,-151.75,78.62,76,67,10.85
15,Nhulunbuy,AU,2020-10-23 17:59:56,-12.23,136.77,78.8,83,40,6.93
16,Pevek,RU,2020-10-23 17:59:56,69.7,170.31,26.67,95,1,13.02
17,Port Elizabeth,ZA,2020-10-23 17:59:57,-33.92,25.57,66.2,93,20,17.22
18,Grand Gaube,MU,2020-10-23 17:59:57,-20.01,57.66,73.0,70,39,1.99
19,Busselton,AU,2020-10-23 17:59:57,-33.65,115.33,55.0,40,0,13.27
20,Turriff,GB,2020-10-23 17:59:58,57.54,-2.46,46.99,81,40,3.36
21,Fortuna,US,2020-10-23 17:59:58,40.6,-124.16,55.0,71,1,5.95
22,Bethel,US,2020-10-23 17:59:58,41.37,-73.41,64.99,88,90,6.93
23,Alofi,NU,2020-10-23 17:59:59,-19.06,-169.92,73.4,100,100,10.29
24,Hofn,IS,2020-10-23 17:59:59,64.25,-15.21,42.8,93,90,19.46
25,Plettenberg Bay,ZA,2020-10-23 17:59:59,-34.05,23.37,65.64,90,42,6.33
26,Mar Del Plata,AR,2020-10-23 17:59:14,-38.0,-57.56,62.6,82,75,8.05
27,Barrow,US,2020-10-23 18:00:00,71.29,-156.79,32.0,98,90,6.93
28,Kruisfontein,ZA,2020-10-23 18:00:00,-34.0,24.73,70.0,81,1,7.0
29,Bluff,NZ,2020-10-23 17:58:51,-46.6,168.33,50.47,73,95,14.03
30,San Ramon,US,2020-10-23 17:55:40,37.78,-121.98,64.0,67,40,1.95
31,Cape Town,ZA,2020-10-23 17:59:17,-33.93,18.42,69.01,88,75,9.17
32,Ostersund,SE,2020-10-23 18:00:01,63.18,14.64,33.8,80,0,12.75
33,Coquimbo,CL,2020-10-23 17:58:04,-29.95,-71.34,55.4,82,90,10.29
34,Tarui,JP,2020-10-23 18:00:03,35.37,136.53,39.99,97,2,11.99
35,Taoudenni,ML,2020-10-23 18:00:04,22.68,-3.98,91.04,11,0,4.21
36,Thompson,CA,2020-10-23 18:00:05,55.74,-97.86,21.2,73,90,10.29
37,Qarqin,AF,2020-10-23 18:00:06,37.42,66.04,51.21,44,0,9.15
38,Longyearbyen,SJ,2020-10-23 17:57:32,78.22,15.64,17.6,78,20,2.24
39,San Cristobal,VE,2020-10-23 18:00:07,7.77,-72.22,93.2,38,40,18.34
40,Baglung,NP,2020-10-23 18:00:07,28.27,83.59,60.91,45,0,6.4
41,Bo Rai,TH,2020-10-23 18:00:08,12.57,102.54,72.19,82,100,4.83
42,Catia La Mar,VE,2020-10-23 18:00:08,10.6,-67.03,82.0,65,74,11.41
43,Kodiak,US,2020-10-23 18:00:09,57.79,-152.41,44.6,93,90,26.4
44,Bristol,US,2020-10-23 18:00:10,41.83,-71.17,70.0,60,1,1.77
45,Shakiso,ET,2020-10-23 18:00:10,5.75,38.92,59.83,90,62,0.63
46,Punta Arenas,CL,2020-10-23 18:00:11,-53.15,-70.92,46.4,65,75,5.82
47,Manaure,CO,2020-10-23 18:00:12,11.78,-72.44,90.3,59,63,17.27
48,Saskylakh,RU,2020-10-23 18:00:13,71.92,114.08,19.81,97,100,6.85
49,Sitka,US,2020-10-23 18:00:14,57.05,-135.33,32.0,70,40,3.36
50,Mul,IN,2020-10-23 18:00:14,20.07,79.67,72.77,70,29,1.1
51,Luancheng,CN,2020-10-23 18:00:15,37.88,114.65,35.6,80,0,2.71
52,Butaritari,KI,2020-10-23 18:00:15,3.07,172.79,81.59,75,93,12.97
53,Georgetown,MY,2020-10-23 18:00:15,5.41,100.34,80.6,83,20,3.36
54,Puerto Ayora,EC,2020-10-23 18:00:16,-0.74,-90.35,77.0,73,75,19.46
55,Krasnyy Chikoy,RU,2020-10-23 18:00:17,50.36,108.75,30.99,92,0,1.79
56,Olafsvik,IS,2020-10-23 18:00:17,64.89,-23.71,43.59,75,100,27.92
57,Tura,IN,2020-10-23 18:00:18,25.52,90.22,69.98,99,100,4.97
58,Nikolskoye,RU,2020-10-23 18:00:18,59.7,30.79,46.4,93,90,15.66
59,Saint-Louis,SN,2020-10-23 18:00:18,16.33,-15.0,102.2,26,0,2.24
60,Khatanga,RU,2020-10-23 18:00:19,71.97,102.5,7.16,95,100,6.17
61,Kavieng,PG,2020-10-23 18:00:19,-2.57,150.8,82.11,68,5,5.44
62,Manjacaze,MZ,2020-10-23 18:00:19,-24.71,33.88,67.42,87,0,5.84
63,Airai,TL,2020-10-23 18:00:19,-8.93,125.41,61.93,100,64,0.29
64,Sulangan,PH,2020-10-23 18:00:20,11.14,123.72,78.94,87,100,13.02
65,Hermanus,ZA,2020-10-23 18:00:20,-34.42,19.23,70.0,81,28,3.0
